20230829	12:57:36	54866bfa-14e7-46a5-95e2-5ee8cf0ed032	/new-page.html	GET
20230829	12:57:36	477281ca-a565-4a03-a9b9-470c38d802e5	/img/kakashi.jpg	GET
20230829	12:57:37	c15a96da-133d-4ced-8d1b-46625b889200	/favicon.ico	GET
20230829	12:59:22	7c77f776-c4cd-4f69-8e69-4f9739e38208	/new-page.html	GET
20230829	13:01:28	4e99ad36-c558-4bb2-9dfc-16888d234a04	/new-page.html	GET
20230829	13:01:28	24020adb-c5af-44c6-8873-d4e00bfe78be	/img/kakashi.jpg	GET
20230829	13:01:44	5c17907e-723f-4b03-b0d5-b97e7f6ed8f9	/new-page.html	GET
20230829	13:01:44	73eaabf0-6852-434b-a168-479f80a3b26a	/img/kakashi.jpg	GET
20230829	13:01:44	37b634c4-ce6f-4ef7-ba6b-dab6ec34e519	/favicon.ico	GET
20230829	16:15:53	c74a4ec8-7263-4c77-9927-d8bc77e4d160	GET	undefined	/
20230829	16:26:29	aa41a7e4-28b2-4615-ba37-9ed1c4f31bbd	OPTIONS	https://www.google.com	/
20230829	16:26:29	3246a731-a904-4e8b-9a4b-7db8b5acbf34	GET	https://www.google.com	/
20230829	16:30:13	3cabe327-ca65-440d-adcf-1cbf491d8b59	OPTIONS	https://www.google.com	/
20230829	16:30:13	e6b9adda-5195-422e-acc8-54213fec7a3d	GET	https://www.google.com	/
20230829	16:32:02	7b0afa3c-cf38-452f-a291-52c56d66b1e2	OPTIONS	https://www.google.com	/
20230829	16:32:02	63599c55-270e-4c39-93d6-a88ab987f4c3	GET	https://www.google.com	/
20230829	16:42:13	7f46fae8-c14a-472f-b39f-591aecb3ede5	GET	undefined	/
20230829	21:19:52	6e869302-9a5a-425a-9c50-81c857981ab2	OPTIONS	https://www.google.com	/
20230829	21:19:52	8f30c434-a19f-402c-b1b7-e96e352dc5be	GET	https://www.google.com	/
20230829	21:21:28	cfeed934-abfa-46ed-b1f4-5cf3f1e8e62e	OPTIONS	https://www.google.com	/
20230829	21:21:28	6101cc64-a09f-4e14-ba7f-4523868b90ad	GET	https://www.google.com	/
20230829	21:30:08	f1f55428-58b8-4c6e-8d3e-77cf934be024	OPTIONS	https://www.google.com	/
20230829	21:30:08	b0a418de-fb6f-487c-8fd2-9a21f61de9c4	GET	https://www.google.com	/
20230829	21:32:21	3e7ca094-3508-47dc-b36c-70b9395bfbf6	GET	undefined	/
20230829	21:35:55	4dc62860-fe8f-4628-b464-79343f8bb118	GET	undefined	/
20230829	21:35:56	e80e711d-7c25-4f53-9b8a-c1038de035ab	GET	undefined	/
20230829	21:36:17	082e31c5-b251-423b-8c18-9a3dd8f118d1	GET	undefined	/new-page.html
20230829	21:36:17	22930bb1-79ad-46b5-ab83-cbe129ed0053	GET	undefined	/img/kakashi.jpg
20230829	21:44:19	a4d2c769-dfa2-469a-808a-df348132f90b	GET	undefined	/new-page.html
20230829	21:44:19	6a1bfb60-1cde-4d7e-80cf-fc7fd75ba01f	GET	undefined	/img/kakashi.jpg
20230829	21:45:02	baf8bc34-91bd-47d7-8734-4819627248aa	GET	undefined	/
20230829	21:46:13	7db6a399-32b0-487b-8c04-aab40fb642d2	GET	undefined	/
20230829	21:52:02	155beaba-ac8e-4f47-8ca6-c28127ed91ca	GET	undefined	/yoma
20230829	21:54:43	0f8947e0-e9da-49b0-b8d5-78e1b2e894f9	GET	undefined	/yoma
20230829	21:56:54	f92e48d0-9e98-42f7-8fb0-7cf1385cf46c	GET	undefined	/yoma
20230829	22:44:05	fd2c8de2-7e25-4554-83ca-7487c77ebe4b	OPTIONS	https://delvet.vercel.app	/products
20230829	22:44:05	88cb1d6d-6a4c-449e-90ad-52dddb7f4ae7	GET	https://delvet.vercel.app	/products
20230830	00:26:02	c170081d-7ae2-4f2f-a820-46c03b78c373	GET	undefined	/
20230830	00:26:21	506bc34a-2787-4e8e-a6bb-646c029e30b4	GET	undefined	/subdir
20230830	00:27:46	cda187f1-2ae0-4d75-b077-a790ece84bd6	GET	undefined	/subdir
20230830	00:28:30	bc02ad05-8cf4-4e28-8287-c547cbcc4ffd	GET	undefined	/subdir/test
20230830	00:52:36	b4bef894-7554-4e73-afbf-5a482a663bb4	GET	undefined	/subdir/
20230830	00:53:20	0b2dd3ea-cdc4-4913-b2d2-b1ee3bd4e44e	GET	undefined	/subdir/dfhfgh
20230830	10:06:18	80bce4aa-ba4a-4cc8-bba2-983ffd4e4971	GET	undefined	/
20230830	10:06:18	8ac66649-dc7a-4261-8f42-0138c800c9ef	GET	undefined	/favicon.ico
20230830	10:06:23	cd2dee16-63da-4f42-a902-17594fce3fe3	GET	undefined	/subdir/adfsdf
20230830	10:14:02	fe017f18-085e-4427-875a-7672b3426e1d	GET	undefined	/subdir/adfsdf
20230830	10:14:06	7566a9fb-429b-4dd5-bf52-e45fc135f977	GET	undefined	/
20230830	10:14:34	7751ba05-a16c-4e34-84aa-641148676462	GET	undefined	/new-page.html
20230830	10:14:34	952a3c0d-5cac-49e0-9f59-3d060d48d73e	GET	undefined	/img/kakashi.jpg
20230830	10:48:51	fcf0d632-1ebc-413a-a343-ed8b51a4a605	GET	undefined	/employees
20230830	10:52:22	61775dc2-a8cd-4daf-8307-e60d8546b45d	POST	undefined	/employees
20230830	10:54:12	7b86fe57-f41b-436f-b7b7-19ced56299af	GET	undefined	/employees
20230830	10:58:59	62e91587-cd82-46bf-b562-0f5f016bfc2f	PUT	undefined	/employees
20230830	11:01:26	e79f1825-f00a-4ae8-ad73-274dcd1e7cfb	DELETE	undefined	/employees
20230830	11:02:41	6a3c69cf-1d19-4f1e-ad9d-5343b92441a2	GET	undefined	/employees/1
20230830	11:02:45	51323389-de83-4399-82d9-b50762fde7f6	GET	undefined	/employees/4
20230830	11:02:48	cd8921ad-2102-4bd9-9a3c-f244026049c8	GET	undefined	/employees/3
20230830	11:02:49	ac87b480-a6d8-4489-b72f-5d99e330628b	GET	undefined	/employees/2
20230830	11:02:50	07fe9573-75f6-4f53-bc71-ecdebab0f3fc	GET	undefined	/employees/
20230830	11:02:50	e062cdf8-93f3-43ec-944a-8160c202bd13	GET	undefined	/employees/1
20230830	14:09:06	6969ea80-d143-49b3-8ce5-d43a6ec2f7db	GET	undefined	/employees
20230830	14:09:34	b85b28cb-b8a5-419a-a8bc-0bff58e6f4b8	POST	undefined	/employees
20230830	14:11:30	322fe571-1315-4a9e-9077-333d4107fedc	PUT	undefined	/employees
20230830	14:12:22	2c6d811a-ddfd-4497-806e-ba323b0346e7	GET	undefined	/employees
20230830	14:12:40	32831786-a743-4eee-8387-51ac0d554ca6	DELETE	undefined	/employees
20230830	14:13:48	476e014c-30df-4f4b-bafc-d0895583c515	DELETE	undefined	/employees
20230830	14:14:54	7a33f6ef-bebb-4156-a6fa-69b854b59017	DELETE	undefined	/employees
20230830	14:15:07	2f87d95c-2e01-4706-becd-ae92d935112e	DELETE	undefined	/employees
20230830	14:15:50	ea680953-43a4-4c65-bfd9-4a542092006e	GET	undefined	/employees
20230830	14:16:14	7104aa70-0d4d-4048-81cb-5bd8b0368131	GET	undefined	/employees
20230830	14:16:34	7251eb58-db31-4e0a-967c-79f9b7c2aa69	POST	undefined	/employees
20230830	14:16:46	3b85c1d8-addb-4232-aabf-981aed590125	PUT	undefined	/employees
20230830	14:16:55	e02bcba7-99b3-4d32-9bde-00f690c3e447	DELETE	undefined	/employees
20230830	14:17:42	5726350a-c344-4702-a6f2-d56084fad2a8	GET	undefined	/employees/1
20230830	23:53:05	04f61a3e-2ed1-4393-9ae8-eca152486035	POST	undefined	/register
20230830	23:54:02	21b99468-1b31-4d06-b354-23d0b21dee8a	POST	undefined	/register
20230831	00:08:47	1fad111b-d109-415f-87ae-79cbc84e1c20	POST	undefined	/auth
20230831	00:09:06	9be45963-ef1a-4543-9094-b0adfce0961e	POST	undefined	/auth
20230831	00:09:21	1468c6a9-bf95-47e7-bd87-f772373625e5	POST	undefined	/auth
20230831	00:10:29	a4c75986-7e66-47fa-a20a-135bc71f26fb	POST	undefined	/register
20230831	00:45:08	4c8755d1-f39f-429c-9ad8-9dc12804d008	POST	undefined	/auth
20230831	00:45:31	e41d39f5-a3a9-4dff-9ad1-446ea6b2b226	POST	undefined	/auth
